12x01 "The Crimson King""
"The evil that men do lives after them. The good is oft interred with their bones.","William Shakespeare","Aaron Hotchner"
"Loss and possession, death and life are one. There falls no shadow where there shines no sun.","Hilaire Belloc","Jennifer Jareau"
"Love begins by taking care of the closet ones—the ones at home.","Mother Teresa","Jennifer Jareau"
"Sinful and forbidden pleasures are like poisoned bread. They may satisfy appetite for the moment, but there is death in them at the end.","Tyron Edwards","Emily Prentiss"
"Three things cannot long stay hidden. The sun, the moon, and the truth.","Buddha","Luke Alvez"
"Beware the man who does not talk and the dog that does not bark.","Cheyenne proverb","Luke Alvez"
"What greater thing is there for human souls than to feel that they are joined for life, to be with each other in silent unspeakable memories?","George Elliot","Spencer Reid"
"Freedom is what you do with what's been done to you.","Jean-Paul Sartre","Spencer Reid."
"The strength of a family, like the strength of an army, is in its loyalty to each other.","Mario Puzo","David Rossi"
"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.","Helen Keller","Penelope Garcia"
"A sibling may be the keeper of one's' identity, the only persons with the keys to one's unfettered, more fundamental self.","Marian Sandmaier","Dr. Tara Lewis"
"The father said: 'You are always with me and everything I have is yours. But we had to celebrate and be glad, because this brother of yours was dead and is alive again. He was lost and is found.'","The Gospel of Luke","Dr. Tara Lewis"
"God sometimes takes us into troubled waters, not to drown us, but to cleanse us.","Unknown","Spencer Reid"
"Sometimes good things fall apart so that better things can fall together.","Marilyn Monroe","David Rossi"
"What madness is it to be expecting evil before it comes?","Lucius Annaeus Seneca","David Rossi"
"The life of the dead is placed in the memory of the living.","Marcus Tullius Cicero","Stephen Walker & David Rossi"
"Now, we'll start this band of robbers and call it Tom Sawyer's gang. Everybody that wants to join has to take an oath and write his name in blood.","Mark Twain","Stephen Walker"
"A gang is where a coward go to hide.","Mickey Mantle","Emily Prentiss"
"We must remember that Satan has his miracles, too.","John Calvin","Spencer Reid"
"Time moves in one direction, memory in another.","William Gibson","Spencer Reid"
"A good husband makes a good wife.","John Florio","David Rossi"
"Nothing is more sad than the death of an illusion.","Arthur Koestler","Emily Prentiss"
"There is not a righteous man on Earth who does what is right and never sins.","Ecclesiastes 7:20.","Spencer Reid"
"There are so many fragile things after all. People break so easily, and so do dreams and hearts.","Neil Gaiman","Jennifer Jareau"
"The illusion of control make the helplessness seem more palatable.","Allie Brosh","Emily Prentiss"
"Loss of control is always the source of fear. It is also, however, always the source of change.","James Frey","Spencer Reid"
" Strong men, men who are truly role models, don't need to put down women to make themselves feel powerful.","Michelle Obama","Penelope Garcia"
"One of the many lessons that one learns in prison is that things are what they are and will be what they will be.","Oscar Wilde","Spencer Reid"
"To go against conscience is neither right nor safe. Here I stand. I can do no other.","Martin Luther","Spencer Reid"
"Hope is being able to see that there is light, despite all of the darkness.","Desmond Tutu","Spencer Reid"
"Life, of course, never gets anyone's entire attention. Death always remains interesting, holds us, draws us.","Janet Malcolm","Jennifer Jareau"
"How blessed are some people whose lives have no fears, no dreads, to whom sleep is a blessing that comes nightly and brings nothing but sweet dreams.","Bram Stoker","Dr. Tara Lewis"
"How can I be substantial if I do not cast a shadow? I must have a dark side also if I'm to be whole.","Carl Jung","Spencer Reid"
"Cannot be seen, cannot be felt. Cannot be heard, cannot be smelt. It lies behind stars and under hills, and empty holes it fills. It comes first and follows after, ends life, kills laughter.","J.R.R. Tolkien","Spencer Reid"
"Is it progress if a cannibal uses a fork? ","Stanislaw Lec","Stephen Walker"
"The future is inevitable and precise, but may not occur. God lurks in the gaps.","Jorge Luis Borges","Emily Prentiss"
"The past is never where you think you left it.","Katherine Anne Porter","Stephen Walker"
"Life can only be understood backwards, but it must be lived forwards.","Soren Kiekegaard","Spencer Reid"
